Run,HRT,Vup,Influent_COD,COD_removal,Biogas
1,22,0.42,642,78,0.18
2,22,0.18,642,72,0.14
3,17.5,0.3,851,68,0.15
4,17.5,0.1,851,61,0.1
5,17.5,0.5,851,74,0.44
6,13,0.42,642,68,0.17
7,10,0.3,851,55,0.21
8,22,0.42,1060,73,0.38
9,25,0.3,851,81,0.48
10,17.5,0.3,851,67,0.14
11,13,0.18,1060,54,0.52
12,17.5,0.3,851,69,0.14
13,17.5,0.3,851,68,0.14
14,17.5,0.3,1200,64,0.64
15,17.5,0.3,851,69,0.13
16,22,0.18,1060,70,0.33
17,13,0.18,642,63,0.13
18,17.5,0.3,500,73,0.07
19,17.5,0.3,851,69,0.13
20,13,0.42,1060,63,0.39
1,21.4,0.27,630,76.3,0.25
2,21.4,0.27,620,78.3,0.24